name,category,description,price,dimensions,material,stock,id
Modular Sofa,Living Room,"A low-profile, customizable modular sofa with deep seats.",1299.99,220 x 90 x 75,Linen Blend Fabric,550,b92da22b-21df-406f-8a0b-3c3336d8393a
Oak Coffee Table,Living Room,A solid oak coffee table with rounded edges and minimal design.,349.0,120 x 60 x 40,Solid Oak Wood,300,93829b43-922f-415a-a1e3-db63ef7ddc76
Luna Side Table,Living Room,A round side table with powder-coated steel legs.,139.5,45 x 45 x 50,MDF & Steel,250,7914c120-c8dc-419f-be35-11287900f7f9
Media Console Unit,Living Room,A minimalist TV console with soft-close drawers and cable management.,599.99,180 x 40 x 50,Engineered Wood,120,1825bc54-30be-445f-a835-14f2ceb81f9d
Oslo Lounge Chair,Living Room,An upholstered lounge chair with clean Scandinavian lines.,425.0,70 x 80 x 85,Bouclé Fabric & Wood,180,5ab33edf-6e59-4ed3-a8b3-17fa18d0752b
Platform Bed Frame,Bedroom,A modern low-profile bed frame made from solid ash wood.,899.0,200 x 160 x 30,Solid Ash Wood,100,dd2467ac-778e-4db3-a93d-ffbc6c6fa611
Minimal Nightstand,Bedroom,A compact nightstand with soft-close drawer and shelf.,189.99,50 x 40 x 45,Birch Plywood,200,a748dbcf-ac61-4e63-8dde-29a6baa4b71a
4-Drawer Dresser,Bedroom,Minimalist dresser with push-to-open drawers and matte finish.,499.0,100 x 45 x 90,MDF with Veneer,140,0f844fef-1931-49ee-a56c-0941fbf24050
Floating Shelf Set,Bedroom,A set of 2 wall-mounted floating shelves with hidden brackets.,89.0,80 x 20 x 4,Bamboo,400,ccf3a171-56dc-4907-ba6c-34ab6712303a
Dining Table,Kitchen,A rectangular dining table with solid wood top and tapered legs.,749.0,180 x 90 x 75,Solid Walnut,80,310c0c00-3fa7-4104-9bf9-0e27dc96925e
Dining Chair Set,Kitchen,Set of 2 minimalist dining chairs with upholstered seats.,289.0,45 x 50 x 85,Oak & Fabric,220,23e2fcb4-72d8-467d-894a-05e430b187ef
Bar Stool,Kitchen,A sleek bar stool with footrest and ergonomic back.,159.0,40 x 40 x 75,Steel & Wood,160,766ecb15-474e-4c19-aef9-12766c006f61
Sideboard Cabinet,Kitchen,Spacious storage sideboard with soft-close doors and shelves.,599.0,160 x 45 x 80,Mango Wood,100,134c6c92-ec5b-427c-9fde-4fbf3ff350bf
Storage Bench,Living Room,"A minimalist bench with hidden storage, perfect for entryways or under windows.",329.0,120 x 40 x 45,Oak Veneer & Upholstery,200,db20a56e-dc81-4fe7-8eda-8bbb71710434
Wall Shelf Trio,Living Room,Set of 3 floating wall shelves with matte finish and hidden mounts.,109.0,60 x 20 x 3 (each),Pine Wood,350,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3
Bedside Bench,Bedroom,"Upholstered bench for the end of bed, adds storage and elegance.",259.0,130 x 40 x 45,Cotton-Linen & Wood,120,03c72ba8-d605-4770-8a63-f881ffd0f9d5
Wardrobe Cabinet,Bedroom,"Two-door wardrobe with shelves and hanging rod, soft-close system.",799.0,100 x 60 x 200,Laminate MDF,70,c0e9ab30-ed26-42e9-97e0-11b7f8102383
Arched Wall Mirror,Bedroom,Large arched mirror with slim black metal frame.,225.0,70 x 150 x 3,Glass & Steel,180,680ac07a-2a93-4d62-bc83-5dc0d9441fa5
Kitchen Island Cart,Kitchen,"Compact mobile island with wood top, drawers, and towel rack.",349.0,100 x 60 x 90,Rubberwood & MDF,100,dd59ba71-36b8-4481-bb3a-4e3e7c52fa17
Open Shelf Unit,Kitchen,Minimalist shelf rack for open kitchen storage.,199.0,80 x 30 x 180,Powder-coated Steel,150,2a25a888-0f02-4ad0-a706-7ef466aa9385
Wall Hook Rail,Kitchen,Wooden rail with 6 hooks for hanging mugs or utensils.,49.0,60 x 5 x 3,Oak Wood,500,63f2ae24-fc3d-4348-808d-4127610461e3
